simulation,graphfile,seed,ngraphs,npaths,nsteps,alpha,lambda,sigma,K,max_time,outfile
1,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.001 ,1000,60,out1
2,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.101 ,1000,60,out2
3,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.201 ,1000,60,out3
4,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.301 ,1000,60,out4
5,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.401 ,1000,60,out5
6,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.501 ,1000,60,out6
7,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.601 ,1000,60,out7
8,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.701 ,1000,60,out8
9,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.801 ,1000,60,out9
10,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 0.901 ,1000,60,out10
11,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 1.001 ,1000,60,out11
12,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 1.101 ,1000,60,out12
13,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 1.201 ,1000,60,out13
14,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 1.301 ,1000,60,out14
15,BA1000.g6,1234,30,1000,5000, 1.990 , 0.001 , 1.401 ,1000,60,out15
16,BA1000.g6,1234,30,1000,5000, 0.500 , 0.001 , 0.300 ,1000,60,out16
17,BA1000.g6,1234,30,1000,5000, 0.500 , 0.100 , 0.300 ,1000,60,out17
18,BA1000.g6,1234,30,1000,5000, 0.500 , 0.200 , 0.300 ,1000,60,out18
19,BA1000.g6,1234,30,1000,5000, 0.500 , 0.300 , 0.300 ,1000,60,out19
20,BA1000.g6,1234,30,1000,5000, 0.500 , 0.400 , 0.300 ,1000,60,out20
21,BA1000.g6,1234,30,1000,5000, 0.500 , 0.500 , 0.300 ,1000,60,out21
22,BA1000.g6,1234,30,1000,5000, 0.500 , 0.600 , 0.300 ,1000,60,out22
23,BA1000.g6,1234,30,1000,5000, 0.500 , 0.700 , 0.300 ,1000,60,out23
24,BA1000.g6,1234,30,1000,5000, 0.500 , 0.800 , 0.300 ,1000,60,out24
25,BA1000.g6,1234,30,1000,5000, 0.500 , 0.900 , 0.300 ,1000,60,out25
26,BA1000.g6,1234,30,1000,5000, 0.500 , 1.000 , 0.300 ,1000,60,out26
27,BA1000.g6,1234,30,1000,5000, 0.500 , 0.001 , 0.600 ,1000,60,out27
28,BA1000.g6,1234,30,1000,5000, 0.500 , 0.100 , 0.600 ,1000,60,out28
29,BA1000.g6,1234,30,1000,5000, 0.500 , 0.200 , 0.600 ,1000,60,out29
30,BA1000.g6,1234,30,1000,5000, 0.500 , 0.300 , 0.600 ,1000,60,out30
31,BA1000.g6,1234,30,1000,5000, 0.500 , 0.400 , 0.600 ,1000,60,out31
32,BA1000.g6,1234,30,1000,5000, 0.500 , 0.500 , 0.600 ,1000,60,out32
33,BA1000.g6,1234,30,1000,5000, 0.500 , 0.600 , 0.600 ,1000,60,out33
34,BA1000.g6,1234,30,1000,5000, 0.500 , 0.700 , 0.600 ,1000,60,out34
35,BA1000.g6,1234,30,1000,5000, 0.500 , 0.800 , 0.600 ,1000,60,out35
36,BA1000.g6,1234,30,1000,5000, 0.500 , 0.900 , 0.600 ,1000,60,out36
37,BA1000.g6,1234,30,1000,5000, 0.500 , 1.000 , 0.600 ,1000,60,out37
